и,0,1.0000
в,0,0.9993
не,0,0.9987
на,0,0.9980
я,0,0.9973
что,0,0.9967
он,0,0.9960
с,0,0.9953
она,0,0.9947
это,0,0.9940
как,0,0.9933
но,0,0.9927
по,0,0.9920
они,0,0.9913
из,0,0.9907
мы,0,0.9900
да,0,0.9893
нет,0,0.9887
его,0,0.9880
её,0,0.9873
всё,0,0.9867
все,0,0.9860
то,0,0.9853
так,0,0.9847
а,0,0.9840
мне,0,0.9833
вот,0,0.9827
если,0,0.9820
уже,0,0.9813
или,0,0.9807
мама,0,0.9800
папа,0,0.9793
дом,0,0.9787
кот,0,0.9780
пёс,0,0.9773
рука,0,0.9767
нога,0,0.9760
глаза,0,0.9753
нос,0,0.9747
рот,0,0.9740
ухо,0,0.9733
голова,0,0.9727
живот,0,0.9720
есть,0,0.9713
идти,0,0.9707
дать,0,0.9700
взять,0,0.9693
видеть,0,0.9687
знать,0,0.9680
хотеть,0,0.9673
мочь,0,0.9667
спать,0,0.9660
пить,0,0.9653
бежать,0,0.9647
играть,0,0.9640
смотреть,0,0.9633
говорить,0,0.9627
любить,0,0.9620
сделать,0,0.9613
иметь,0,0.9607
стоять,0,0.9600
сидеть,0,0.9593
лежать,0,0.9587
вода,0,0.9580
хлеб,0,0.9573
молоко,0,0.9567
яблоко,0,0.9560
мяч,0,0.9553
книга,0,0.9547
стол,0,0.9540
стул,0,0.9533
окно,0,0.9527
дверь,0,0.9520
большой,0,0.9513
маленький,0,0.9507
красивый,0,0.9500
добрый,0,0.9493
весёлый,0,0.9487
грустный,0,0.9480
злой,0,0.9473
новый,0,0.9467
старый,0,0.9460
чистый,0,0.9453
один,0,0.9447
два,0,0.9440
три,0,0.9433
много,0,0.9427
мало,0,0.9420
очень,0,0.9413
хорошо,0,0.9407
плохо,0,0.9400
быстро,0,0.9393
тихо,0,0.9387
бабушка,0,0.9380
дедушка,0,0.9373
брат,0,0.9367
сестра,0,0.9360
семья,0,0.9353
ребёнок,0,0.9347
дети,0,0.9340
кушать,0,0.9333
прийти,0,0.9327
уйти,0,0.9320
тут,0,0.9313
там,0,0.9307
где,0,0.9300
когда,0,0.9293
зачем,0,0.9287
почему,0,0.9280
потому,0,0.9273
чтобы,0,0.9267
тоже,0,0.9260
ещё,0,0.9253
сам,0,0.9247
своё,0,0.9240
наш,0,0.9233
ваш,0,0.9227
их,0,0.9220
кто,0,0.9213
нам,0,0.9207
вам,0,0.9200
сейчас,0,0.9193
потом,0,0.9187
скоро,0,0.9180
нельзя,0,0.9173
можно,0,0.9167
надо,0,0.9160
нужно,0,0.9153
хватит,0,0.9147
снова,0,0.9140
опять,0,0.9133
первый,0,0.9127
последний,0,0.9120
каждый,0,0.9113
свой,0,0.9107
такой,0,0.9100
этот,0,0.9093
тот,0,0.9087
весь,0,0.9073
любой,0,0.9067
другой,0,0.9060
мир,0,0.9053
жизнь,0,0.9047
день,0,0.9040
год,0,0.9033
время,0,0.9027
место,0,0.9020
путь,0,0.9013
конец,0,0.9007
начало,0,0.9000
имя,0,0.8993
слово,0,0.8987
дело,0,0.8980
часть,0,0.8973
вещь,0,0.8967
раз,0,0.8960
человек,0,0.8953
люди,0,0.8947
рядом,0,0.8940
вместе,0,0.8933
всегда,0,0.8927
никогда,0,0.8920
иногда,0,0.8913
утро,0,0.8907
вечер,0,0.8900
ночь,0,0.8893
лето,0,0.8887
зима,0,0.8880
весна,0,0.8873
осень,0,0.8867
тепло,0,0.8860
холодно,0,0.8853
светло,0,0.8847
темно,0,0.8840
нравиться,0,0.8833
помогать,0,0.8827
работать,0,0.8820
учиться,0,0.8813
читать,0,0.8807
писать,0,0.8800
дружить,0,0.8793
плакать,0,0.8787
смеяться,0,0.8780
кричать,0,0.8773
молчать,0,0.8767
думать,0,0.8760
